Date,Open,High,Low,Close,Volume
2010-01-04,10.781366227742849,10.794125826748035,10.7388364089759,10.760101318359375,2765223
2010-01-05,10.887691033381223,10.887691033381223,10.798377928516633,10.849413871765137,4773662
2010-01-06,10.798377990722656,10.840907807554938,10.74734204718015,10.798377990722656,3109106
2010-01-07,10.802630236938386,10.82389514294214,10.615497920699099,10.65377426147461,3435159
2010-01-08,10.721824748297177,10.823897462394601,10.628258978486702,10.696307182312012,3555751
2010-01-11,10.709064483642578,10.781365332889193,10.692052230860265,10.709064483642578,3965187
2010-01-12,10.662281196850623,10.747341644043377,10.662281196850623,10.709064483642578,3601496
2010-01-13,10.632511378630364,10.700559580821873,10.59848768589406,10.675041198730469,4173663
2010-01-14,10.726078306250416,10.874933498084474,10.721824834072912,10.794126510620117,4652143
2010-01-15,10.815387412677323,10.845157623291016,10.624002470317746,10.845157623291016,9549754
2010-01-18,10.794125796926222,11.130112507663286,10.785619669852558,11.062065124511719,11257164
2010-01-19,11.002521453857614,11.079075775366645,10.857919754028128,10.930220603942871,9347836
2010-01-20,11.036545773231527,11.036545773231527,10.768606469196603,10.836654663085938,5818179
2010-01-21,10.785621412085,10.955741530881658,10.738838113982242,10.891946792602539,8035261
2010-01-22,10.64527131878606,10.794126510620117,10.632511718972477,10.794126510620117,8577124
2010-01-25,10.65802992977605,10.67504136805458,10.521933523234315,10.598487854003906,5404275
2010-01-27,10.398595873028718,10.470896725826272,10.31353542165836,10.347559928894043,9370745
2010-01-28,10.364572912362075,10.49216320009681,10.300778176854193,10.453886032104492,7532506
2010-01-29,10.326296992802307,10.347561905527295,10.126405016405618,10.14767074584961,13087223
2010-02-01,10.096632561347652,10.185945672316887,10.007319450378418,10.007319450378418,9495767
2010-02-02,10.00731831422957,10.109391012833692,9.973294625840728,10.037089347839355,6795063
2010-02-03,10.011573980504966,10.024332764357963,9.828694267256768,9.981802940368652,10491683
2010-02-04,9.952029737323482,9.994559552069642,9.752138627953968,9.837198257446289,8303990
2010-02-05,9.569258851397763,9.662825422894231,9.488451877562769,9.616042137145996,8762455
